reading_id,session_date,phone_clock,graph_clock,capture_type,channel_graph_header,channel_list_label,paired_with,gear,load,thermal,coolant_c,ac,rpm_at_capture,value,value_min,value_max,span,units,reading_method,admissible,epoch,notes,source
PART1-0001,2026-09-02,unknown,unknown,value_read,unknown,unknown,none,P,idle,warm,unknown,off,unknown,unknown,650,750,100,rpm,owner_report,unknown,pre_purge_valve,"Owner-reported normal idle range read off the dashboard tachometer, restated by the assistant as 'Idle rpm is normal, 650-750, and stable enough that nothing stalls or nearly stalls'. Not a logged measurement; no scan tool was connected at any point in this part of the conversation.",[36]
PART1-0002,2026-09-02,unknown,unknown,dtc,unknown,stored and pending DTCs,none,n/a,n/a,unknown,unknown,unknown,unknown,none,unknown,unknown,unknown,count,owner_report,unknown,pre_purge_valve,"'No code, ever' and the MIL has never illuminated, owner-reported across years of ownership. Weakened by the assistant in [19]: the earlier battery disconnect wiped stored and pending memory, so only the never-lit MIL survives as evidence. Permanent codes (Mode 0A) had never been read at this point.",[8];[9];[19];[36]
PART1-0003,2026-09-02,unknown,unknown,value_read,unknown,odometer,none,n/a,n/a,n/a,unknown,n/a,n/a,131000,unknown,unknown,unknown,km,owner_report,unknown,pre_purge_valve,"Stated as '131,000 km' and '131,000+ km'; repo notes elsewhere flag the odometer history as non-monotonic so this is a lower bound.",[15];[19]
PART1-0004,2026-09-02,unknown,unknown,physical,unknown,engine coolant temperature (dash gauge),none,unknown,idle,warm,unknown,unknown,unknown,reaches_and_holds_normal,unknown,unknown,unknown,n/a,owner_report,unknown,pre_purge_valve,Owner reports the thermostat reaches operating temperature and holds it; assistant uses this to confirm the PCM does exit warm-up enrichment. No numeric temperature was stated.,[24]
PART1-0005,2026-09-02,unknown,unknown,physical,unknown,coolant level,none,n/a,n/a,unknown,unknown,n/a,n/a,steady,unknown,unknown,unknown,n/a,owner_report,unknown,pre_purge_valve,"Coolant level steady, no unexplained loss. Bears on the internal timing-chain-driven water pump watch item.",[24]
PART1-0006,2026-09-02,unknown,unknown,physical,unknown,engine oil viscosity in sump,none,n/a,n/a,n/a,unknown,n/a,n/a,5W-30,unknown,unknown,unknown,SAE grade,owner_report,unknown,pre_purge_valve,"Currently 5W-30 against a Ford spec of 5W-20. Assistant judged it slightly heavy, worth correcting at the next change, but not the cause.",[24]
PART1-0007,2026-09-02,unknown,unknown,physical,unknown,fuel octane used,none,n/a,n/a,n/a,unknown,n/a,n/a,95,unknown,unknown,unknown,RON,owner_report,unknown,pre_purge_valve,Always 95 octane from the same station; symptom constant regardless. Fuel quality/octane eliminated on this basis.,[19]
PART2-0001,2026-09-04,unknown,unknown,dtc,n/a,DTC - OBD-II + Engine control unit,unknown,n/a,unknown,unknown,unknown,unknown,unknown,U0422,unknown,unknown,unknown,n/a,value_read,yes,pre_purge_valve,Invalid data received from body control module. Archive (inactive).,[102]
PART2-0002,2026-09-04,unknown,unknown,dtc,n/a,DTC - OCS,unknown,n/a,unknown,unknown,unknown,unknown,unknown,U0140,unknown,unknown,unknown,n/a,value_read,yes,pre_purge_valve,No communication with BCM. Archive (inactive).,[102]
PART2-0003,2026-09-04,unknown,unknown,dtc,n/a,DTC - RCM,unknown,n/a,unknown,unknown,unknown,unknown,unknown,B11D8(14),unknown,unknown,unknown,n/a,value_read,yes,pre_purge_valve,Restraints event notification. Archive (inactive). Ford definition of B11D8 and sub-code (14) not verified.,[102]
PART2-0004,2026-09-04,unknown,unknown,dtc,n/a,Powertrain P-codes (complete multi-module scan),unknown,n/a,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown,unknown,count,value_read,yes,pre_purge_valve,Zero P-codes of any kind on a complete multi-module scan. Confirmed complete scan by owner.,[102];[103]
PART2-0005,2026-09-04,unknown,unknown,value_read,unknown,Short term fuel % trim - Bank 1,unknown,unknown,idle,warm,94,unknown,661,0.78,0.78,3.13,unknown,%,value_read,yes,pre_purge_valve,Assistant quoted STFT bank 1 as '0.78% and 3.13%' from the value list.,[107]
PART2-0006,2026-09-04,unknown,unknown,value_read,unknown,Short term fuel % trim - Bank 2,unknown,unknown,idle,warm,94,unknown,661,0,unknown,unknown,unknown,%,value_read,yes,pre_purge_valve,,[107]
PART2-0007,2026-09-04,unknown,unknown,value_read,unknown,Long term fuel % trim - Bank 1,unknown,unknown,idle,warm,94,unknown,661,0.0,unknown,unknown,unknown,%,value_read,yes,pre_purge_valve,"Assistant: exactly 0.0% on both banks, more likely un-relearned than learned-and-perfect (101 km / 3 warm-ups since clear).",[107];[140]
PART2-0008,2026-09-04,unknown,unknown,value_read,unknown,Long term fuel % trim - Bank 2,unknown,unknown,idle,warm,94,unknown,661,0.0,unknown,unknown,unknown,%,value_read,yes,pre_purge_valve,Same caveat as bank 1 - probably un-relearned.,[107];[140]
PART2-0009,2026-09-04,unknown,unknown,monitor_status,n/a,Misfire monitor,unknown,unknown,idle,warm,94,unknown,661,COMPLETED,unknown,unknown,unknown,n/a,value_read,yes,pre_purge_valve,"Available and COMPLETED, DTC count 0.",[107]
PART2-0010,2026-09-04,unknown,unknown,monitor_status,n/a,Fuel System monitor,unknown,unknown,idle,warm,94,unknown,661,not completed,unknown,unknown,unknown,n/a,value_read,yes,pre_purge_valve,,[107]
PART2-0011,2026-09-04,unknown,unknown,monitor_status,n/a,Catalyst monitor,unknown,unknown,idle,warm,94,unknown,661,not completed,unknown,unknown,unknown,n/a,value_read,yes,pre_purge_valve,Quoted at [165] from the monitor status screen.,[165]
PART2-0012,2026-09-04,unknown,unknown,value_read,unknown,Lambda,unknown,unknown,idle,warm,94,unknown,661,0.99,unknown,unknown,unknown,lambda,value_read,yes,pre_purge_valve,,[107]
PART2-0013,2026-09-04,unknown,unknown,value_read,unknown,Air:fuel ratio,unknown,unknown,idle,warm,94,unknown,661,14.52,unknown,unknown,unknown,AFR,value_read,yes,pre_purge_valve,,[107]
PART2-0014,2026-09-04,unknown,unknown,value_read,unknown,Knock retard,unknown,unknown,idle,warm,94,unknown,661,0,unknown,unknown,unknown,deg,value_read,yes,pre_purge_valve,,[107]
PART2-0015,2026-09-04,unknown,unknown,value_read,unknown,Timing advance,unknown,unknown,idle,warm,94,unknown,661,11.5,unknown,unknown,unknown,deg,value_read,yes,pre_purge_valve,,[107]
PART2-0016,2026-09-04,unknown,unknown,value_read,unknown,Variable camshaft actual advance #1,unknown,unknown,idle,warm,94,unknown,661,rest position,unknown,unknown,unknown,deg,value_read,yes,pre_purge_valve,Assistant wrote 'cam advance at its rest position' with no number quoted in this message.,[107]
PART2-0017,2026-09-04,unknown,unknown,value_read,n/a,Throttle desired vs actual (difference),unknown,unknown,idle,warm,94,unknown,661,0.27,unknown,unknown,unknown,deg,value_read,yes,pre_purge_valve,"Assistant: 'throttle tracking its target within 0.27 deg'. Derived difference, not a raw channel.",[107]
PART2-0018,2026-09-04,unknown,unknown,value_read,unknown,Catalyst temperature Bank 1 Sensor 1,unknown,unknown,idle,warm,94,unknown,661,458.9,unknown,unknown,unknown,degC,value_read,yes,pre_purge_valve,Quoted at [171] as the earlier reading; [165] quotes 458 degC without bank.,[171]
PART2-0019,2026-09-04,unknown,unknown,value_read,unknown,Catalyst temperature Bank 2 Sensor 1,unknown,unknown,idle,warm,94,unknown,661,458.9,unknown,unknown,unknown,degC,value_read,yes,pre_purge_valve,Identical to bank 1 in the same read.,[171]
PART2-0020,2026-09-04,unknown,unknown,value_read,unknown,Engine coolant temperature,unknown,unknown,idle,warm,94,unknown,661,94,unknown,unknown,unknown,degC,value_read,yes,pre_purge_valve,,[107]
PART2-0021,2026-09-04,unknown,unknown,value_read,unknown,Control module voltage,unknown,unknown,idle,warm,94,unknown,661,13.76,unknown,unknown,unknown,V,value_read,yes,pre_purge_valve,"From the same full sensor scan, quoted back at [161] to contrast with the later 12.62 V.",[161]
PART2-0022,2026-09-04,unknown,unknown,value_read,unknown,OBD module voltage,unknown,unknown,idle,warm,94,unknown,661,14.0,unknown,unknown,unknown,V,value_read,yes,pre_purge_valve,Same scan.,[161]
PART2-0023,2026-09-04,unknown,unknown,value_read,unknown,Vehicle Battery Voltage,unknown,unknown,idle,warm,94,unknown,661,13.8,unknown,unknown,unknown,V,value_read,yes,pre_purge_valve,Same scan. [107] summarised this as 'charging 14V'.,[107];[161]
PART2-0024,2026-09-04,unknown,unknown,value_read,unknown,Battery state of charge,unknown,unknown,idle,warm,94,unknown,661,88,unknown,unknown,unknown,%,value_read,yes,pre_purge_valve,,[161]
PART2-0025,2026-09-04,unknown,unknown,value_read,unknown,Commanded evaporative purge,unknown,unknown,idle,warm,94,unknown,661,41,unknown,unknown,unknown,%,value_read,yes,pre_purge_valve,Warm idle. Broke the assumption in the idle-quality protocol that sealing the purge port changes nothing on a healthy engine.,[107]
PART2-0026,2026-09-04,unknown,unknown,value_read,unknown,Ethanol fuel percent,unknown,unknown,idle,warm,94,unknown,661,16.08,unknown,unknown,unknown,%,value_read,yes,pre_purge_valve,Flex-fuel truck where ethanol content is inferred not sensed; Saudi pump fuel normally E0. Flagged for verification against a second tool.,[107]
PART2-0027,2026-09-04,unknown,unknown,value_read,unknown,MAF air flow rate,unknown,unknown,idle,warm,94,unknown,661,2.93,unknown,unknown,unknown,g/s,value_read,yes,pre_purge_valve,At 661 rpm. Assistant called it low-normal for a 3.7.,[107]
PART2-0028,2026-09-04,unknown,unknown,value_read,unknown,Engine RPM,unknown,unknown,idle,warm,94,unknown,661,661,unknown,unknown,unknown,rpm,value_read,yes,pre_purge_valve,Single snapshot from the value list.,[107]
PART2-0029,2026-09-04,unknown,unknown,value_read,unknown,Right front tyre pressure,unknown,unknown,idle,warm,94,unknown,661,211.7,unknown,unknown,unknown,kPa,value_read,yes,pre_purge_valve,Door label is 241 kPa - about 4 psi low. Unrelated to the idle.,[107]
PART2-0030,2026-09-04,unknown,unknown,value_read,unknown,A/C pressure,unknown,unknown,idle,warm,94,unknown,661,0,unknown,unknown,unknown,kPa,value_read,yes,pre_purge_valve,"Assistant judged this an unsupported PID rather than a fault, because the A/C cools properly.",[113]
PART2-0031,2026-09-04,unknown,unknown,value_read,unknown,Manifold absolute pressure (high resolution),unknown,unknown,idle,warm,94,unknown,661,blank,unknown,unknown,unknown,kPa,value_read,yes,pre_purge_valve,Read blank on this vehicle - looks unsupported.,[122]
PART2-0032,2026-09-04,unknown,unknown,value_read,n/a,Distance since codes cleared,unknown,unknown,idle,warm,94,unknown,661,101,unknown,unknown,unknown,km,value_read,yes,pre_purge_valve,,[107]
PART2-0033,2026-09-04,unknown,unknown,value_read,n/a,Warm-ups since codes cleared,unknown,unknown,idle,warm,94,unknown,661,3,unknown,unknown,unknown,count,value_read,yes,pre_purge_valve,,[107]
PART2-0034,2026-09-04,unknown,16:50-17:02,graph_paired,Engine RPM,Engine RPM,unknown,unknown,idle,warm,unknown,on,unknown,unknown,622,690,68,rpm,unknown,unknown,pre_purge_valve,"One of six RPM windows. Assistant presented these as Min/Max per window; whether they came from the app's Min/Max fields or from the curve is not stated, so admissibility is unresolved. Assistant judged the single-sample drops to 621-626 to be ELM327 dropped frames, not engine events.",[109]
PART2-0035,2026-09-04,unknown,17:05-17:15,graph_paired,Engine RPM,Engine RPM,unknown,unknown,idle,warm,unknown,on,unknown,unknown,625,701,76,rpm,unknown,unknown,pre_purge_valve,"One of six RPM windows. Assistant presented these as Min/Max per window; whether they came from the app's Min/Max fields or from the curve is not stated, so admissibility is unresolved. Assistant judged the single-sample drops to 621-626 to be ELM327 dropped frames, not engine events.",[109]
PART2-0036,2026-09-04,unknown,17:15-17:28,graph_paired,Engine RPM,Engine RPM,unknown,unknown,idle,warm,unknown,on,unknown,unknown,634,698,64,rpm,unknown,unknown,pre_purge_valve,"One of six RPM windows. Assistant presented these as Min/Max per window; whether they came from the app's Min/Max fields or from the curve is not stated, so admissibility is unresolved. Assistant judged the single-sample drops to 621-626 to be ELM327 dropped frames, not engine events.",[109]
PART2-0037,2026-09-04,unknown,17:32-17:45,graph_paired,Engine RPM,Engine RPM,unknown,unknown,idle,warm,unknown,on,unknown,unknown,621,702,81,rpm,unknown,unknown,pre_purge_valve,"One of six RPM windows. Assistant presented these as Min/Max per window; whether they came from the app's Min/Max fields or from the curve is not stated, so admissibility is unresolved. Assistant judged the single-sample drops to 621-626 to be ELM327 dropped frames, not engine events.",[109]
PART2-0038,2026-09-04,unknown,17:45-17:58,graph_paired,Engine RPM,Engine RPM,unknown,unknown,idle,warm,unknown,on,unknown,unknown,622,697,75,rpm,unknown,unknown,pre_purge_valve,"One of six RPM windows. Assistant presented these as Min/Max per window; whether they came from the app's Min/Max fields or from the curve is not stated, so admissibility is unresolved. Assistant judged the single-sample drops to 621-626 to be ELM327 dropped frames, not engine events.",[109]
PART2-0039,2026-09-04,unknown,18:00-18:12,graph_paired,Engine RPM,Engine RPM,unknown,unknown,idle,warm,unknown,on,unknown,unknown,626,704,78,rpm,unknown,unknown,pre_purge_valve,"One of six RPM windows. Assistant presented these as Min/Max per window; whether they came from the app's Min/Max fields or from the curve is not stated, so admissibility is unresolved. Assistant judged the single-sample drops to 621-626 to be ELM327 dropped frames, not engine events.",[109]
PART2-0040,2026-09-04,unknown,16:50-18:12,graph_paired,Engine RPM,Engine RPM,unknown,unknown,idle,warm,unknown,on,unknown,unknown,638,668,30,rpm,curve_read,yes,pre_purge_valve,"Assistant's read of the body of the trace across the six A/C-ON windows, excluding the single-sample dropouts. Mean around 650-660.",[109]
PART2-0041,2026-09-04,unknown,unknown,calculation,n/a,RPM oscillation period (A/C ON windows),unknown,unknown,idle,warm,unknown,on,unknown,4-5,unknown,unknown,unknown,minutes,curve_read,no,pre_purge_valve,"WITHDRAWN. Based on reading the graph x-axis as wall-clock. Owner corrected the timebase at [115]; screen is ~15 s wide, so the true period is ~2.5-4 s.",[109];[115];[117]
PART2-0042,2026-09-04,unknown,unknown,calculation,n/a,OBD sample rate (assumed),unknown,unknown,idle,warm,unknown,on,unknown,0.3,unknown,unknown,unknown,Hz,curve_read,no,pre_purge_valve,WITHDRAWN with the timebase. Assistant estimated one sample every 2-4 s from the wrong axis width. Later measured at 5-8 samples/s (ping 55-92 ms) at [136].,[109];[136]
PART2-0043,2026-09-04,unknown,unknown,value_read,n/a,Ambient temperature,unknown,n/a,n/a,n/a,unknown,on,unknown,37,unknown,unknown,unknown,degC,unknown,unknown,pre_purge_valve,Stated by the assistant as the ambient during the A/C-ON traces. Source of the figure not given.,[109];[112]
PART2-0044,2026-09-04,unknown,unknown,graph_paired,Engine RPM,Engine RPM,unknown,unknown,idle,warm,unknown,off,unknown,unknown,unknown,unknown,37,rpm,unknown,unknown,pre_purge_valve,A/C OFF window 1 of 5. Only the span (max-min) was quoted. The 74 rpm window contains the deep dip described below.,[116]
PART2-0045,2026-09-04,unknown,unknown,graph_paired,Engine RPM,Engine RPM,unknown,unknown,idle,warm,unknown,off,unknown,unknown,unknown,unknown,74,rpm,unknown,unknown,pre_purge_valve,A/C OFF window 2 of 5. Only the span (max-min) was quoted. The 74 rpm window contains the deep dip described below.,[116]
PART2-0046,2026-09-04,unknown,unknown,graph_paired,Engine RPM,Engine RPM,unknown,unknown,idle,warm,unknown,off,unknown,unknown,unknown,unknown,38,rpm,unknown,unknown,pre_purge_valve,A/C OFF window 3 of 5. Only the span (max-min) was quoted. The 74 rpm window contains the deep dip described below.,[116]
PART2-0047,2026-09-04,unknown,unknown,graph_paired,Engine RPM,Engine RPM,unknown,unknown,idle,warm,unknown,off,unknown,unknown,unknown,unknown,30,rpm,unknown,unknown,pre_purge_valve,A/C OFF window 4 of 5. Only the span (max-min) was quoted. The 74 rpm window contains the deep dip described below.,[116]
PART2-0048,2026-09-04,unknown,unknown,graph_paired,Engine RPM,Engine RPM,unknown,unknown,idle,warm,unknown,off,unknown,unknown,unknown,unknown,53,rpm,unknown,unknown,pre_purge_valve,A/C OFF window 5 of 5. Only the span (max-min) was quoted. The 74 rpm window contains the deep dip described below.,[116]
PART2-0049,2026-09-04,unknown,unknown,graph_paired,Engine RPM,Engine RPM,unknown,unknown,idle,warm,unknown,off,unknown,unknown,606,680,unknown,rpm,curve_read,yes,pre_purge_valve,"Real event in the second A/C-OFF trace: rpm dips to ~606-612, holds briefly, then recovers with an overshoot to 680. Has width, so not a dropped frame. One occurrence across five windows. Assistant's candidate cause: cooling fan engaging.",[116]
PART2-0050,2026-09-04,unknown,unknown,graph_paired,Engine RPM,Engine RPM,unknown,unknown,idle,warm,unknown,off,unknown,650,unknown,unknown,30-40,rpm,curve_read,yes,pre_purge_valve,Assistant's summary: bare idle sits in a 30-40 rpm band around 650.,[116]
PART2-0051,2026-09-04,unknown,unknown,calculation,n/a,Idle hunt period,unknown,unknown,idle,warm,unknown,off,unknown,2.5-4,unknown,unknown,unknown,s,curve_read,yes,pre_purge_valve,Counting 4-6 peaks per ~15 s screen. Owner independently confirms the tachometer needle visibly breathes.,[117]
PART2-0052,2026-09-04,unknown,unknown,value_read,n/a,App clock vs phone clock,unknown,n/a,n/a,n/a,unknown,unknown,unknown,22:31 vs 10:31,unknown,unknown,unknown,clock,value_read,yes,pre_purge_valve,"Assistant noted the app clock read 22:31 while the phone read 10:31 - the same instant in 24 h and 12 h format, which is why the axis width could not be resolved from the screenshots alone.",[116]
PART2-0053,2026-09-04,unknown,unknown,graph_paired,Engine RPM,Engine RPM,PART2-0054;PART2-0055;PART2-0056;PART2-0057;PART2-0058;PART2-0059;PART2-0060;PART2-0061;PART2-0062,unknown,idle,warm,unknown,unknown,653,653,unknown,unknown,40,rpm,curve_read,yes,pre_purge_valve,"Baseline across the eight Set A captures: average 653, oscillating 40 rpm at a 3.5-4 s period. Gridlines 5 s per owner.; A/C state not confirmed by owner; requested but never stated",[126]
PART2-0054,2026-09-04,unknown,unknown,graph_paired,Short term fuel % trim - Bank 1,Short term fuel % trim - Bank 1,PART2-0053;PART2-0055;PART2-0056;PART2-0057;PART2-0058;PART2-0059;PART2-0060;PART2-0061;PART2-0062,unknown,idle,warm,unknown,unknown,653,unknown,-1.56,1.56,3.12,%,curve_read,yes,pre_purge_valve,"Quantised in 0.78 % steps (one LSB); never leaves the -1.56 to +1.56 band. Assistant initially read this as proof fuel control was eliminated - that conclusion was withdrawn at [157] because STFT is the correction, not the mixture.; A/C state not confirmed by owner; requested but never stated",[126]
PART2-0055,2026-09-04,unknown,unknown,graph_paired,Short term fuel % trim - Bank 1,Short term fuel % trim - Bank 1,PART2-0053;PART2-0054;PART2-0056;PART2-0057;PART2-0058;PART2-0059;PART2-0060;PART2-0061;PART2-0062,unknown,idle,warm,unknown,unknown,unknown,-0.92,unknown,unknown,unknown,%,app_minmaxavg,no,pre_purge_valve,"App Avg field, capture 1 of 8. Session-cumulative, not per-window - inadmissible. Assistant read the consistently negative sign as a possible fuel-vapour signature at [126] and withdrew that at [128].; A/C state not confirmed by owner; requested but never stated",[126]
PART2-0056,2026-09-04,unknown,unknown,graph_paired,Short term fuel % trim - Bank 1,Short term fuel % trim - Bank 1,PART2-0053;PART2-0054;PART2-0055;PART2-0057;PART2-0058;PART2-0059;PART2-0060;PART2-0061;PART2-0062,unknown,idle,warm,unknown,unknown,unknown,-0.44,unknown,unknown,unknown,%,app_minmaxavg,no,pre_purge_valve,"App Avg field, capture 2 of 8. Session-cumulative, not per-window - inadmissible. Assistant read the consistently negative sign as a possible fuel-vapour signature at [126] and withdrew that at [128].; A/C state not confirmed by owner; requested but never stated",[126]
