reading_id,session_date,phone_clock,graph_clock,capture_type,channel_graph_header,channel_list_label,paired_with,gear,load,thermal,coolant_c,ac,rpm_at_capture,value,value_min,value_max,span,units,reading_method,admissible,epoch,notes,source,msg,captured_at,exif_session,minutes_from_start,value_num,min_num,max_num,span_num,rpm_num,coolant_num,is_admissible,epoch_by_time,channel
PART0-0013,unknown,unknown,unknown,physical,unknown,A/C outlet performance,none,unknown,idle,unknown,unknown,on,unknown,cools_properly,unknown,unknown,unknown,n/a,owner_report,unknown,pre_purge_valve,"DIRECT ANSWER to 'Does the A/C actually blow cold?' - 'Yes, cools properly'. Establishes the compressor is doing real work when the A/C-on traces were taken.",owner_answers round 13; near [112],112,,,,,,,,,,0,unknown,unknown
PART0-0014,unknown,unknown,unknown,physical,unknown,scan app graph screen width (timed against the phone clock),none,n/a,n/a,n/a,unknown,n/a,n/a,15,unknown,unknown,unknown,s,owner_report,unknown,pre_purge_valve,"DIRECT ANSWER to 'How long does the trace take to travel the full width of the graph, timed against your phone clock?' - 'About 15 seconds'. THIS IS THE MEASUREMENT THAT SETS THE TIME AXIS FOR EVERY GRAPH READING IN THE DATASET. An earlier revision of the project assumed the screen was 15 minutes wide; that assumption made the idle oscillation period wrong by a factor of 60. Approximate ('about').",owner_answers round 14; near [116],116,2026-09-04 22:44:06,EX03,17.92,15.0,,,,,,0,pre_purge_valve,unknown
PART0-0015,unknown,unknown,unknown,subjective,unknown,"tachometer needle (dash), live",none,unknown,idle,unknown,unknown,unknown,unknown,visibly_breathes_up_and_down,unknown,unknown,unknown,n/a,owner_report,unknown,pre_purge_valve,"DIRECT ANSWER to 'When you watch the live tachometer needle in the cab, what does it actually do?' - 'Visibly breathes up and down'. Owner confirmation of the rhythmic idle hunt, independent of the graph.",owner_answers round 14; near [116],116,2026-09-04 22:44:06,EX03,17.92,,,,,,,0,pre_purge_valve,unknown
PART0-0016,2026-09-02,unknown,unknown,physical,unknown,fuel octane used,none,n/a,n/a,n/a,unknown,n/a,n/a,95,unknown,unknown,unknown,RON,owner_report,unknown,pre_purge_valve,"DIRECT ANSWER to 'What fuel goes in it, and from where?' - 'Always 95, same station'.",owner_answers round 7; near [18],18,,,,95.0,,,,,,0,unknown,unknown
PART0-0017,2026-09-02,unknown,unknown,subjective,unknown,unknown,none,driving,cruise,unknown,unknown,unknown,unknown,no_vibration_at_all,unknown,unknown,unknown,n/a,owner_report,unknown,pre_purge_valve,"DIRECT ANSWER to 'Under load on the road, does it pull normally?' - 'Pulls great with no vibration at all'. The load half of the load curve, in the owner's own words.",owner_answers round 4; near [9],9,,,,,,,,,,0,unknown,unknown
PART0-0018,2026-09-02,unknown,unknown,subjective,unknown,unknown,none,P,rpm_sweep,unknown,unknown,unknown,unknown,present_everywhere_roughly_equal,unknown,unknown,unknown,n/a,owner_report,unknown,pre_purge_valve,"DIRECT ANSWER to 'How does the shake behave as you sweep the rpm up in Park?' - 'Present everywhere, roughly equal'. FLAGGED: this is in tension with PART0-0002 from the round immediately before, where a 1,000-2,000 rpm band is described as specifically unstable and reproducible in Park. It is also an impression from ordinary use, not a conducted, held-and-rated rpm sweep - the project's own later notes list that sweep as still undone.",owner_answers round 3; near [8],8,,,,,,,,,,0,unknown,unknown
PART1-0001,2026-09-02,unknown,unknown,value_read,unknown,unknown,none,P,idle,warm,unknown,off,unknown,unknown,650,750,100,rpm,owner_report,unknown,pre_purge_valve,"Owner-reported normal idle range read off the dashboard tachometer, restated by the assistant as 'Idle rpm is normal, 650-750, and stable enough that nothing stalls or nearly stalls'. Not a logged measurement; no scan tool was connected at any point in this part of the conversation.",[36],36,,,,,650.0,750.0,100.0,,,0,unknown,unknown
PART1-0002,2026-09-02,unknown,unknown,dtc,unknown,stored and pending DTCs,none,n/a,n/a,unknown,unknown,unknown,unknown,none,unknown,unknown,unknown,count,owner_report,unknown,pre_purge_valve,"'No code, ever' and the MIL has never illuminated, owner-reported across years of ownership. Weakened by the assistant in [19]: the earlier battery disconnect wiped stored and pending memory, so only the never-lit MIL survives as evidence. Permanent codes (Mode 0A) had never been read at this point.",[8];[9];[19];[36],8,,,,,,,,,,0,unknown,unknown
PART1-0003,2026-09-02,unknown,unknown,value_read,unknown,odometer,none,n/a,n/a,n/a,unknown,n/a,n/a,131000,unknown,unknown,unknown,km,owner_report,unknown,pre_purge_valve,"Stated as '131,000 km' and '131,000+ km'; repo notes elsewhere flag the odometer history as non-monotonic so this is a lower bound.",[15];[19],15,,,,131000.0,,,,,,0,unknown,unknown
PART1-0004,2026-09-02,unknown,unknown,physical,unknown,engine coolant temperature (dash gauge),none,unknown,idle,warm,unknown,unknown,unknown,reaches_and_holds_normal,unknown,unknown,unknown,n/a,owner_report,unknown,pre_purge_valve,Owner reports the thermostat reaches operating temperature and holds it; assistant uses this to confirm the PCM does exit warm-up enrichment. No numeric temperature was stated.,[24],24,,,,,,,,,,0,unknown,unknown
PART1-0005,2026-09-02,unknown,unknown,physical,unknown,coolant level,none,n/a,n/a,unknown,unknown,n/a,n/a,steady,unknown,unknown,unknown,n/a,owner_report,unknown,pre_purge_valve,"Coolant level steady, no unexplained loss. Bears on the internal timing-chain-driven water pump watch item.",[24],24,,,,,,,,,,0,unknown,unknown
PART1-0006,2026-09-02,unknown,unknown,physical,unknown,engine oil viscosity in sump,none,n/a,n/a,n/a,unknown,n/a,n/a,5W-30,unknown,unknown,unknown,SAE grade,owner_report,unknown,pre_purge_valve,"Currently 5W-30 against a Ford spec of 5W-20. Assistant judged it slightly heavy, worth correcting at the next change, but not the cause.",[24],24,,,,,,,,,,0,unknown,unknown
PART1-0007,2026-09-02,unknown,unknown,physical,unknown,fuel octane used,none,n/a,n/a,n/a,unknown,n/a,n/a,95,unknown,unknown,unknown,RON,owner_report,unknown,pre_purge_valve,Always 95 octane from the same station; symptom constant regardless. Fuel quality/octane eliminated on this basis.,[19],19,,,,95.0,,,,,,0,unknown,unknown
PART2-0001,2026-09-04,unknown,unknown,dtc,n/a,DTC - OBD-II + Engine control unit,unknown,n/a,unknown,unknown,unknown,unknown,unknown,U0422,unknown,unknown,unknown,n/a,value_read,yes,pre_purge_valve,Invalid data received from body control module. Archive (inactive).,[102],102,2026-09-04 22:26:11,EX01,0.0,,,,,,,1,pre_purge_valve,n/a
PART2-0002,2026-09-04,unknown,unknown,dtc,n/a,DTC - OCS,unknown,n/a,unknown,unknown,unknown,unknown,unknown,U0140,unknown,unknown,unknown,n/a,value_read,yes,pre_purge_valve,No communication with BCM. Archive (inactive).,[102],102,2026-09-04 22:26:11,EX01,0.0,,,,,,,1,pre_purge_valve,n/a
PART2-0003,2026-09-04,unknown,unknown,dtc,n/a,DTC - RCM,unknown,n/a,unknown,unknown,unknown,unknown,unknown,B11D8(14),unknown,unknown,unknown,n/a,value_read,yes,pre_purge_valve,Restraints event notification. Archive (inactive). Ford definition of B11D8 and sub-code (14) not verified.,[102],102,2026-09-04 22:26:11,EX01,0.0,,,,,,,1,pre_purge_valve,n/a
PART2-0004,2026-09-04,unknown,unknown,dtc,n/a,Powertrain P-codes (complete multi-module scan),unknown,n/a,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown,unknown,count,value_read,yes,pre_purge_valve,Zero P-codes of any kind on a complete multi-module scan. Confirmed complete scan by owner.,[102];[103],102,2026-09-04 22:26:11,EX01,0.0,0.0,,,,,,1,pre_purge_valve,n/a
PART2-0005,2026-09-04,unknown,unknown,value_read,unknown,Short term fuel % trim - Bank 1,unknown,unknown,idle,warm,94,unknown,661,0.78,0.78,3.13,unknown,%,value_read,yes,pre_purge_valve,Assistant quoted STFT bank 1 as '0.78% and 3.13%' from the value list.,[107],107,,,,0.78,0.78,3.13,,661.0,94.0,1,unknown,unknown
PART2-0006,2026-09-04,unknown,unknown,value_read,unknown,Short term fuel % trim - Bank 2,unknown,unknown,idle,warm,94,unknown,661,0,unknown,unknown,unknown,%,value_read,yes,pre_purge_valve,,[107],107,,,,0.0,,,,661.0,94.0,1,unknown,unknown
PART2-0007,2026-09-04,unknown,unknown,value_read,unknown,Long term fuel % trim - Bank 1,unknown,unknown,idle,warm,94,unknown,661,0.0,unknown,unknown,unknown,%,value_read,yes,pre_purge_valve,"Assistant: exactly 0.0% on both banks, more likely un-relearned than learned-and-perfect (101 km / 3 warm-ups since clear).",[107];[140],107,2026-09-04 23:22:16,EX06,56.08,0.0,,,,661.0,94.0,1,pre_purge_valve,unknown
PART2-0008,2026-09-04,unknown,unknown,value_read,unknown,Long term fuel % trim - Bank 2,unknown,unknown,idle,warm,94,unknown,661,0.0,unknown,unknown,unknown,%,value_read,yes,pre_purge_valve,Same caveat as bank 1 - probably un-relearned.,[107];[140],107,2026-09-04 23:22:16,EX06,56.08,0.0,,,,661.0,94.0,1,pre_purge_valve,unknown
PART2-0009,2026-09-04,unknown,unknown,monitor_status,n/a,Misfire monitor,unknown,unknown,idle,warm,94,unknown,661,COMPLETED,unknown,unknown,unknown,n/a,value_read,yes,pre_purge_valve,"Available and COMPLETED, DTC count 0.",[107],107,,,,,,,,661.0,94.0,1,unknown,n/a
PART2-0010,2026-09-04,unknown,unknown,monitor_status,n/a,Fuel System monitor,unknown,unknown,idle,warm,94,unknown,661,not completed,unknown,unknown,unknown,n/a,value_read,yes,pre_purge_valve,,[107],107,,,,,,,,661.0,94.0,1,unknown,n/a
PART2-0011,2026-09-04,unknown,unknown,monitor_status,n/a,Catalyst monitor,unknown,unknown,idle,warm,94,unknown,661,not completed,unknown,unknown,unknown,n/a,value_read,yes,pre_purge_valve,Quoted at [165] from the monitor status screen.,[165],165,2026-09-05 00:11:41,EX09,105.5,,,,,661.0,94.0,1,pre_purge_valve,n/a
PART2-0012,2026-09-04,unknown,unknown,value_read,unknown,Lambda,unknown,unknown,idle,warm,94,unknown,661,0.99,unknown,unknown,unknown,lambda,value_read,yes,pre_purge_valve,,[107],107,,,,0.99,,,,661.0,94.0,1,unknown,unknown
PART2-0013,2026-09-04,unknown,unknown,value_read,unknown,Air:fuel ratio,unknown,unknown,idle,warm,94,unknown,661,14.52,unknown,unknown,unknown,AFR,value_read,yes,pre_purge_valve,,[107],107,,,,14.52,,,,661.0,94.0,1,unknown,unknown
PART2-0014,2026-09-04,unknown,unknown,value_read,unknown,Knock retard,unknown,unknown,idle,warm,94,unknown,661,0,unknown,unknown,unknown,deg,value_read,yes,pre_purge_valve,,[107],107,,,,0.0,,,,661.0,94.0,1,unknown,unknown
PART2-0015,2026-09-04,unknown,unknown,value_read,unknown,Timing advance,unknown,unknown,idle,warm,94,unknown,661,11.5,unknown,unknown,unknown,deg,value_read,yes,pre_purge_valve,,[107],107,,,,11.5,,,,661.0,94.0,1,unknown,unknown
PART2-0016,2026-09-04,unknown,unknown,value_read,unknown,Variable camshaft actual advance #1,unknown,unknown,idle,warm,94,unknown,661,rest position,unknown,unknown,unknown,deg,value_read,yes,pre_purge_valve,Assistant wrote 'cam advance at its rest position' with no number quoted in this message.,[107],107,,,,,,,,661.0,94.0,1,unknown,unknown
PART2-0017,2026-09-04,unknown,unknown,value_read,n/a,Throttle desired vs actual (difference),unknown,unknown,idle,warm,94,unknown,661,0.27,unknown,unknown,unknown,deg,value_read,yes,pre_purge_valve,"Assistant: 'throttle tracking its target within 0.27 deg'. Derived difference, not a raw channel.",[107],107,,,,0.27,,,,661.0,94.0,1,unknown,n/a
PART2-0018,2026-09-04,unknown,unknown,value_read,unknown,Catalyst temperature Bank 1 Sensor 1,unknown,unknown,idle,warm,94,unknown,661,458.9,unknown,unknown,unknown,degC,value_read,yes,pre_purge_valve,Quoted at [171] as the earlier reading; [165] quotes 458 degC without bank.,[171],171,2026-09-05 00:26:48,EX10,120.62,458.9,,,,661.0,94.0,1,pre_purge_valve,unknown
PART2-0019,2026-09-04,unknown,unknown,value_read,unknown,Catalyst temperature Bank 2 Sensor 1,unknown,unknown,idle,warm,94,unknown,661,458.9,unknown,unknown,unknown,degC,value_read,yes,pre_purge_valve,Identical to bank 1 in the same read.,[171],171,2026-09-05 00:26:48,EX10,120.62,458.9,,,,661.0,94.0,1,pre_purge_valve,unknown
PART2-0020,2026-09-04,unknown,unknown,value_read,unknown,Engine coolant temperature,unknown,unknown,idle,warm,94,unknown,661,94,unknown,unknown,unknown,degC,value_read,yes,pre_purge_valve,,[107],107,,,,94.0,,,,661.0,94.0,1,unknown,unknown
PART2-0021,2026-09-04,unknown,unknown,value_read,unknown,Control module voltage,unknown,unknown,idle,warm,94,unknown,661,13.76,unknown,unknown,unknown,V,value_read,yes,pre_purge_valve,"From the same full sensor scan, quoted back at [161] to contrast with the later 12.62 V.",[161],161,2026-09-04 23:59:17,EX08,93.1,13.76,,,,661.0,94.0,1,pre_purge_valve,unknown
PART2-0022,2026-09-04,unknown,unknown,value_read,unknown,OBD module voltage,unknown,unknown,idle,warm,94,unknown,661,14.0,unknown,unknown,unknown,V,value_read,yes,pre_purge_valve,Same scan.,[161],161,2026-09-04 23:59:17,EX08,93.1,14.0,,,,661.0,94.0,1,pre_purge_valve,unknown
PART2-0023,2026-09-04,unknown,unknown,value_read,unknown,Vehicle Battery Voltage,unknown,unknown,idle,warm,94,unknown,661,13.8,unknown,unknown,unknown,V,value_read,yes,pre_purge_valve,Same scan. [107] summarised this as 'charging 14V'.,[107];[161],107,2026-09-04 23:59:17,EX08,93.1,13.8,,,,661.0,94.0,1,pre_purge_valve,unknown
PART2-0024,2026-09-04,unknown,unknown,value_read,unknown,Battery state of charge,unknown,unknown,idle,warm,94,unknown,661,88,unknown,unknown,unknown,%,value_read,yes,pre_purge_valve,,[161],161,2026-09-04 23:59:17,EX08,93.1,88.0,,,,661.0,94.0,1,pre_purge_valve,unknown
PART2-0025,2026-09-04,unknown,unknown,value_read,unknown,Commanded evaporative purge,unknown,unknown,idle,warm,94,unknown,661,41,unknown,unknown,unknown,%,value_read,yes,pre_purge_valve,Warm idle. Broke the assumption in the idle-quality protocol that sealing the purge port changes nothing on a healthy engine.,[107],107,,,,41.0,,,,661.0,94.0,1,unknown,unknown
PART2-0026,2026-09-04,unknown,unknown,value_read,unknown,Ethanol fuel percent,unknown,unknown,idle,warm,94,unknown,661,16.08,unknown,unknown,unknown,%,value_read,yes,pre_purge_valve,Flex-fuel truck where ethanol content is inferred not sensed; Saudi pump fuel normally E0. Flagged for verification against a second tool.,[107],107,,,,16.08,,,,661.0,94.0,1,unknown,unknown
PART2-0027,2026-09-04,unknown,unknown,value_read,unknown,MAF air flow rate,unknown,unknown,idle,warm,94,unknown,661,2.93,unknown,unknown,unknown,g/s,value_read,yes,pre_purge_valve,At 661 rpm. Assistant called it low-normal for a 3.7.,[107],107,,,,2.93,,,,661.0,94.0,1,unknown,unknown
PART2-0028,2026-09-04,unknown,unknown,value_read,unknown,Engine RPM,unknown,unknown,idle,warm,94,unknown,661,661,unknown,unknown,unknown,rpm,value_read,yes,pre_purge_valve,Single snapshot from the value list.,[107],107,,,,661.0,,,,661.0,94.0,1,unknown,unknown
PART2-0029,2026-09-04,unknown,unknown,value_read,unknown,Right front tyre pressure,unknown,unknown,idle,warm,94,unknown,661,211.7,unknown,unknown,unknown,kPa,value_read,yes,pre_purge_valve,Door label is 241 kPa - about 4 psi low. Unrelated to the idle.,[107],107,,,,211.7,,,,661.0,94.0,1,unknown,unknown
PART2-0030,2026-09-04,unknown,unknown,value_read,unknown,A/C pressure,unknown,unknown,idle,warm,94,unknown,661,0,unknown,unknown,unknown,kPa,value_read,yes,pre_purge_valve,"Assistant judged this an unsupported PID rather than a fault, because the A/C cools properly.",[113],113,,,,0.0,,,,661.0,94.0,1,unknown,unknown
PART2-0031,2026-09-04,unknown,unknown,value_read,unknown,Manifold absolute pressure (high resolution),unknown,unknown,idle,warm,94,unknown,661,blank,unknown,unknown,unknown,kPa,value_read,yes,pre_purge_valve,Read blank on this vehicle - looks unsupported.,[122],122,,,,,,,,661.0,94.0,1,unknown,unknown
PART2-0032,2026-09-04,unknown,unknown,value_read,n/a,Distance since codes cleared,unknown,unknown,idle,warm,94,unknown,661,101,unknown,unknown,unknown,km,value_read,yes,pre_purge_valve,,[107],107,,,,101.0,,,,661.0,94.0,1,unknown,n/a
PART2-0033,2026-09-04,unknown,unknown,value_read,n/a,Warm-ups since codes cleared,unknown,unknown,idle,warm,94,unknown,661,3,unknown,unknown,unknown,count,value_read,yes,pre_purge_valve,,[107],107,,,,3.0,,,,661.0,94.0,1,unknown,n/a
PART2-0034,2026-09-04,unknown,16:50-17:02,graph_paired,Engine RPM,Engine RPM,unknown,unknown,idle,warm,unknown,on,unknown,unknown,622,690,68,rpm,unknown,unknown,pre_purge_valve,"One of six RPM windows. Assistant presented these as Min/Max per window; whether they came from the app's Min/Max fields or from the curve is not stated, so admissibility is unresolved. Assistant judged the single-sample drops to 621-626 to be ELM327 dropped frames, not engine events.",[109],109,2026-09-04 22:40:36,EX03,14.42,,622.0,690.0,68.0,,,0,pre_purge_valve,Engine RPM
PART2-0035,2026-09-04,unknown,17:05-17:15,graph_paired,Engine RPM,Engine RPM,unknown,unknown,idle,warm,unknown,on,unknown,unknown,625,701,76,rpm,unknown,unknown,pre_purge_valve,"One of six RPM windows. Assistant presented these as Min/Max per window; whether they came from the app's Min/Max fields or from the curve is not stated, so admissibility is unresolved. Assistant judged the single-sample drops to 621-626 to be ELM327 dropped frames, not engine events.",[109],109,2026-09-04 22:40:36,EX03,14.42,,625.0,701.0,76.0,,,0,pre_purge_valve,Engine RPM
PART2-0036,2026-09-04,unknown,17:15-17:28,graph_paired,Engine RPM,Engine RPM,unknown,unknown,idle,warm,unknown,on,unknown,unknown,634,698,64,rpm,unknown,unknown,pre_purge_valve,"One of six RPM windows. Assistant presented these as Min/Max per window; whether they came from the app's Min/Max fields or from the curve is not stated, so admissibility is unresolved. Assistant judged the single-sample drops to 621-626 to be ELM327 dropped frames, not engine events.",[109],109,2026-09-04 22:40:36,EX03,14.42,,634.0,698.0,64.0,,,0,pre_purge_valve,Engine RPM
PART2-0037,2026-09-04,unknown,17:32-17:45,graph_paired,Engine RPM,Engine RPM,unknown,unknown,idle,warm,unknown,on,unknown,unknown,621,702,81,rpm,unknown,unknown,pre_purge_valve,"One of six RPM windows. Assistant presented these as Min/Max per window; whether they came from the app's Min/Max fields or from the curve is not stated, so admissibility is unresolved. Assistant judged the single-sample drops to 621-626 to be ELM327 dropped frames, not engine events.",[109],109,2026-09-04 22:40:36,EX03,14.42,,621.0,702.0,81.0,,,0,pre_purge_valve,Engine RPM
PART2-0038,2026-09-04,unknown,17:45-17:58,graph_paired,Engine RPM,Engine RPM,unknown,unknown,idle,warm,unknown,on,unknown,unknown,622,697,75,rpm,unknown,unknown,pre_purge_valve,"One of six RPM windows. Assistant presented these as Min/Max per window; whether they came from the app's Min/Max fields or from the curve is not stated, so admissibility is unresolved. Assistant judged the single-sample drops to 621-626 to be ELM327 dropped frames, not engine events.",[109],109,2026-09-04 22:40:36,EX03,14.42,,622.0,697.0,75.0,,,0,pre_purge_valve,Engine RPM
PART2-0039,2026-09-04,unknown,18:00-18:12,graph_paired,Engine RPM,Engine RPM,unknown,unknown,idle,warm,unknown,on,unknown,unknown,626,704,78,rpm,unknown,unknown,pre_purge_valve,"One of six RPM windows. Assistant presented these as Min/Max per window; whether they came from the app's Min/Max fields or from the curve is not stated, so admissibility is unresolved. Assistant judged the single-sample drops to 621-626 to be ELM327 dropped frames, not engine events.",[109],109,2026-09-04 22:40:36,EX03,14.42,,626.0,704.0,78.0,,,0,pre_purge_valve,Engine RPM
PART2-0040,2026-09-04,unknown,16:50-18:12,graph_paired,Engine RPM,Engine RPM,unknown,unknown,idle,warm,unknown,on,unknown,unknown,638,668,30,rpm,curve_read,yes,pre_purge_valve,"Assistant's read of the body of the trace across the six A/C-ON windows, excluding the single-sample dropouts. Mean around 650-660.",[109],109,2026-09-04 22:40:36,EX03,14.42,,638.0,668.0,30.0,,,1,pre_purge_valve,Engine RPM
PART2-0041,2026-09-04,unknown,unknown,calculation,n/a,RPM oscillation period (A/C ON windows),unknown,unknown,idle,warm,unknown,on,unknown,4-5,unknown,unknown,unknown,minutes,curve_read,no,pre_purge_valve,"WITHDRAWN. Based on reading the graph x-axis as wall-clock. Owner corrected the timebase at [115]; screen is ~15 s wide, so the true period is ~2.5-4 s.",[109];[115];[117],109,2026-09-04 22:40:36,EX03,14.42,,,,,,,0,pre_purge_valve,n/a
PART2-0042,2026-09-04,unknown,unknown,calculation,n/a,OBD sample rate (assumed),unknown,unknown,idle,warm,unknown,on,unknown,0.3,unknown,unknown,unknown,Hz,curve_read,no,pre_purge_valve,WITHDRAWN with the timebase. Assistant estimated one sample every 2-4 s from the wrong axis width. Later measured at 5-8 samples/s (ping 55-92 ms) at [136].,[109];[136],109,2026-09-04 22:40:36,EX03,14.42,0.3,,,,,,0,pre_purge_valve,n/a
PART2-0043,2026-09-04,unknown,unknown,value_read,n/a,Ambient temperature,unknown,n/a,n/a,n/a,unknown,on,unknown,37,unknown,unknown,unknown,degC,unknown,unknown,pre_purge_valve,Stated by the assistant as the ambient during the A/C-ON traces. Source of the figure not given.,[109];[112],109,2026-09-04 22:40:36,EX03,14.42,37.0,,,,,,0,pre_purge_valve,n/a
PART2-0044,2026-09-04,unknown,unknown,graph_paired,Engine RPM,Engine RPM,unknown,unknown,idle,warm,unknown,off,unknown,unknown,unknown,unknown,37,rpm,unknown,unknown,pre_purge_valve,A/C OFF window 1 of 5. Only the span (max-min) was quoted. The 74 rpm window contains the deep dip described below.,[116],116,2026-09-04 22:44:06,EX03,17.92,,,,37.0,,,0,pre_purge_valve,Engine RPM
