session_id,session_date,phone_clock_start,phone_clock_end,graph_clock_start,graph_clock_end,gear,load,thermal,coolant_c,engine_run_time,channels_captured,n_screenshots,epoch,purpose,summary,source
P2S-011,2026-09-04,unknown,unknown,unknown,unknown,unknown,idle,warm,unknown,unknown,Engine RPM + Commanded throttle actuator,7,pre_purge_valve,Is the PCM asking for throttle movement that a binding plate is not delivering,"Commanded flat at 1.57 %, min = max, on a wide 0.6-2.57 axis; later one LSB step to 1.18 % and flat again. Commanded and actual agree and both are static. RPM 623-674, period 3.5-4 s - the clearest rpm trace of the session.",[152];[153]
P2S-012,2026-09-04,unknown,unknown,unknown,unknown,unknown,idle,warm,unknown,unknown,Engine RPM + Calculated engine load value,6,pre_purge_valve,Independent cross-check on airflow,"Load oscillates with rpm at the same ~3.5 s period, about 1 percentage point on ~28 %, toggling 2-3 LSBs. Not an independent witness - calculated load is PCM arithmetic on MAF, rpm, baro and IAT.",[154];[155]
P2S-013,2026-09-04,unknown,unknown,unknown,unknown,unknown,idle,warm,unknown,unknown,Engine RPM + Lambda + Air:fuel ratio,11,pre_purge_valve,Is the actual mixture swinging even though the trim correction is flat,"Lambda 0.98-1.02, AFR 14.37-14.97, clean smooth sine at ~3.4 s - the same period as rpm. A +/-2 % mixture swing. This overturned the earlier 'fuel control eliminated' conclusion drawn from flat STFT.",[156];[157]
P2S-014,2026-09-04,unknown,unknown,unknown,unknown,unknown,idle,warm,unknown,unknown,Engine RPM + ECU voltage,5,pre_purge_valve,Electrical instability tracking rpm,"Min 12.39, max 12.82, average 12.62-12.67 with the engine running, swinging 0.43 V p2p with rapid irregular spikes. Earlier in the same session the same truck read 13.76 / 14.0 / 13.8 V. Either Ford smart charging or the alternator has stopped; multimeter check deferred by the owner to the next day.",[160];[161]
P2S-015,2026-09-04,unknown,unknown,unknown,unknown,unknown,idle,warm,unknown,unknown,Engine RPM + Fuel/Air commanded equivalence ratio,5,pre_purge_valve,"Is the PCM commanding the mixture swing, or is it happening for a physical reason","Commanded ratio is a clean square wave toggling between exactly 14.41 and 14.86 with nothing in between, period 3.5-4 s. The PCM commands the dither; measured lambda is that square wave filtered by exhaust mixing and sensor response.",[162];[163]
P2S-016,2026-09-04,unknown,unknown,unknown,unknown,unknown,idle,warm,unknown,unknown,Engine RPM + Oxygen sensor 2 Bank 1 Voltage,6,pre_purge_valve,Is the bank 1 catalyst buffering the dither,"Downstream B1 swings 0.17-0.82 V in clean full-range sweeps at the same 3.5-4 s period, average 0.58-0.63. Sensor itself fast, transitions under a second. Catalyst temp 458 C after nearly an hour of idling.",[164];[165]
P2S-017,2026-09-04,unknown,unknown,unknown,unknown,unknown,idle,warm,unknown,unknown,Engine RPM + Oxygen sensor 2 Bank 2 Voltage,4,pre_purge_valve,Bank comparison against P2S-016,"Downstream B2 average 0.70-0.72 V, minima 0.30-0.39, maxima 0.80-0.83, biased high with shallower dips. Better than bank 1 but not flat. The only asymmetry found in the whole dataset.",[166];[167]
P2S-018,2026-09-04,unknown,unknown,unknown,unknown,unknown,idle,warm,unknown,unknown,Engine RPM + O2S1 air:fuel (Oxygen sensor 1 Wide Range Equivalence ratio),5,pre_purge_valve,Upstream bank 1 sensor speed and range,"Swings 14.41-15.05 AFR with clean transitions well under a second, tracking the commanded dither with the small overshoot expected from transport delay. Clears the 'cleaning made the sensors lazy' hypothesis on response speed.",[168];[169]
P2S-019,2026-09-04,unknown,unknown,4:32,unknown,unknown,idle,warm,unknown,unknown,Engine RPM + O2S5 air:fuel (Oxygen sensor 5 Wide Range Equivalence ratio),7,pre_purge_valve,Upstream bank 2 - does fuelling match bank 1,"14.35-15.23 AFR, avg 14.66-14.70, same period and same clean fast transitions as bank 1. The 15.23/14.12 excursion coincides with an rpm spike to 715 at graph clock 4:32. RPM in these windows 616-679. Assistant concluded fuelling was symmetric - a conclusion overturned at [179] by the bank 2 trim.",[170];[171];[173]
P2S-020,2026-09-04,12:48,12:51,21:20,23:55,unknown,idle,warm,unknown,unknown,Engine RPM + Short term fuel % trim - Bank 2,9,pre_purge_valve,"Bank 2 trim, the gap in the fuel picture","Bank 2 STFT sits stepping between 3.13 and 3.91 % across all nine windows (true value ~+3.5 %) with excursions to 5.47 and 6.25 and dips to 1.56, against bank 1's ~0 %. Also settled the graph timebase beyond doubt: graph clock 21:20-23:55 (2 min 35 s) against phone clock 12:48-12:51 (~3 min), so the axis is MM:SS, gridlines 5 s, screen ~15 s.",[178];[179]
